KundenNummer;KundenNummeralt;Titel;Vorname;Name-1;Name-2;Name-3;PO-BOX;Strasse;PLZ;Ort;Tel;Fax;UID;Prozent;Rechnungsanzahl;Anrede;Land;Email
2;2;6;Karl-August;Sovinz;;;;Krenhof 270;8580;Köflach;;;KEINE;0,00;1;3;2;
3;3;0;;TECHN. UNIVERSITÄT GRAZ;Bibliothek;;;Technikerstraße 4;8010;Graz;;;KEINE;0,00;1;1;2;
4;4;0;;VEITSCH-RADEX GmbH & Co OG;;Werk Breitenau;;Wienerbergstraße 9;1100;Wien;03866/2201-0;03866/2201-257;KEINE;0,00;1;1;2;
5;5;0;;TIROLER LANDESREGIERUNG;Abt. Bodenordnung;;;Wilhelm-Greil-Straße 9;6020;Innsbruck;++43(0)512/508-3800;++43(0)512/508-3805;KEINE;0,00;1;7;2;
6;6;0;;BAUBEZIRKSAMT INNSBRUCK;;;;Valiergasse 1;6010;Innsbruck;0512/5360/320;Hr. Mayerz;KEINE;0,00;1;1;2;
7;7;0;;MAGISTRAT DER STADT INNSBRUCK;Abteilung Beschaffungsamt;;;Rathaus;6020;Innsbruck;0512/5360320Mair;;KEINE;0,00;1;1;2;
9;9;6;Gernot;KRASCHL;;;;8. Mai-Straße 47;9020;Klagenfurt;;;ATU65500344;0,00;1;1;2;office@kraschl.at
10;10;0;;MONTANUNIVERSITÄT LEOBEN;Universitätsbibliothek;;;Franz-Josef-Str.18;8700;Leoben;;;KEINE;0,00;1;1;2;
11;11;0;;STADTAMT LEOBEN;;;;;8700;Leoben;;;KEINE;0,00;1;1;2;
12;12;0;;EBSCO INT. INC.;;;;Ignaz-Köck-Straße 9;1210;Wien;;(+43 732) 77 20-21 16 77;ATU52940304;0,00;0;1;2;hloeffler@ebsco.com
13;13;0;;Landesdienstleistungszentrum;Bibliothek;;;Bahnhofplatz 1/6. OG;4021;Linz;;;KEINE;0,00;1;1;2;praes.post@ooe.gv.at
14;14;0;;BUNDESBAHNDIREKTION LINZ;Abt. 8.3 Vermessung;Dipl.-Ing. KLÖSCH Rupert;;Bahnhofstraße 3;4020;Linz;0732 /56411-3323;;KEINE;0,00;1;1;2;
15;15;0;;SALZBURGER LANDESARCHIV;Amtsbibliothek;;;Michael-Pacher-Straße 40;5010;Salzburg;;;KEINE;0,00;1;1;2;
16;16;0;;BUNDESAMT FÜR EICH- U.VERMESSUNGSWESEN;Bibliothek;;;Schiffamtsgasse 1-3;1020;Wien;;;KEINE;0,25;1;1;2;
17;17;0;;AUSTRO CONTROL - GMBH;Fachbibliothek;;;Schnirchgasse 11;1030;Wien;;;KEINE;0,00;1;1;2;
18;18;0;;ÖSTERR. DONAUKRAFTWERKE AG;Hauptverw.Abt.VÖ-Presse 5.Stock;;;Parkring 12;1010;Wien;51538 / 3315;;KEINE;0,00;1;1;2;
19;19;0;;ÖSTERR. INSTITUT FÜR RAUMPLANUNG;Bibliothek und Dokumentation;;562;;1011;Wien;;;KEINE;0,00;1;1;2;
20;20;0;;p & g  prachner & godai;;Verlagsauslieferung Ges.m.b.H.;;Talgasse 11;1150;Wien;01 8934105 DW32;01 8934163;KEINE;0,25;1;1;2;abo@prachner.at
21;21;0;;TECHN. UNIVERSITÄT WIEN;Universitätsbibliothek;Abt. E-Ressourcen und Zeitschriften (E120/5);;Resselgasse 4;1040;Wien;58801 /44267;;KEINE;0,00;1;1;2;
22;22;0;;BEGAS Netz GmbH;;;;Kasernenstraße 10;7000;Eisenstadt;02682/9015-240;;ATU65080379;0,00;0;1;2;viktoria.barilich@begasnetz.at
23;23;0;;NÖ.LANDESREGIERUNG;Abt. B/7;;;Landhausplatz 1;3109;St. Pölten;;;KEINE;0,00;1;7;2;
24;24;0;;Leopold-Franzens-Universität Innsbruck;Quästur;;;Josef-Hirn-Straße 5-7;6020;Innsbruck;0512 507 9043;0512 507 2810;KEINE;0,00;1;1;2;alexander.probst@uibk.ac.at
25;25;0;;Carl Kravani KG;;;;Burggasse 100;1070;Wien;5237225;;57060156;0,25;1;1;2;
26;26;0;;Wilhelm Frick GmbH;Abteilung Versand;;;Heizwerkstrasse 8;1230;Wien;616701231;616701240;KEINE;0,25;1;1;2;
27;27;0;;NÖ.LANDESREGIERUNG;NÖ.Landesbibliothek, Abt.III/4;;;Landhausplatz 1;3109;St. Pölten;;;KEINE;0,00;1;7;2;
28;28;0;;Stadt Graz;e-rechnungen@stadt.graz.at;A8/3 - Abt. f. Rechnungswesen;;Tummelplatz 9;8011;Graz;0316/872;0316/8725309;KEINE;0,00;1;1;2;
29;29;0;;Swets Information Services B.V.;UKP;c/o P.O.Box 65;;;;ABINGDON - OXON OX14 1WA;+49 (0) 69 633 988 301;+44 (0) 1235 857501;NL808377632B01;0,25;1;1;9;publisherservice@de.swets.com
30;30;0;;MEISSNER AG;Zeitschriftenabteilung;;;Bahnhofstraße 41;5001;AARAU;064/2661 71;064/2665 95;KEINE;0,25;1;8;22;
31;31;0;;BUNDESAMT FÜR RAUMPLANUNG;Bibliothek/Dokumentation;;;;3003;BERN;;;KEINE;0,25;1;1;22;
32;32;0;;Fachhochschule Bochum;Hochschulbibliothek;Zeitschriftenverwaltung;;Lennershofstr. 140;44801;BOCHUM;;;DE127056614;0,00;1;1;12;zeitschriften@fh-bochum.de
33;33;0;;Struppe & Winckler;Zweigniederlassung der;Sack Fachmedien GmbH & Co.KG;;Mohrenstr. 34;10117;BERLIN;++49 (0)211 36812-70;++49 (0)211 3681258;DE126048326;0,25;1;10;12;tbachmann@sack-mediengruppe.de
34;34;0;;Dr. Rudolf Habelt GmbH;;;150104;;53040;BONN;49-228-92383;49-228-92383 6;DE122113397;0,25;1;8;12;
35;35;0;;Buchhandlung Graff GmbH;;;;Sack 15;38100;BRAUNSCHWEIG;;;DE242857418;0,25;1;1;12;brunke@graff.de
36;36;0;;NIEHÖRSTER Buchhandel GmbH;;Herrn Dr.Hillejan;;Flughafenstraße 4;44309;DORTMUND 12;;;DE151641131;0,25;1;8;12;
37;37;6;Kurt;HAAG;;;;Ahlbacherweg 19;65604;ELZ BEI LIMBURG;;;KEINE;0,00;1;1;12;
38;38;0;;AKATEEMINEN KIRJAKAUPPA;Subscription Services;;23;P.O.BOX 23;00371;HELSINKI;90/122141;+358 0121 4450;FI01141622;0,25;1;1;10;
39;39;0;;BAEDEKER G.D. GMBH;;;100345;;4300;ESSEN 1;0049-20120680;00492012068100;DE119652470;0,25;1;8;12;
40;40;0;;VERLAG GLÜCKAUF GmbH;Versandbuchhandlung;;185619;;45206;ESSEN;02054/924200-205;02054/924209;DE119673720;0,25;1;1;12;
41;41;0;;Fachbuchservice Frankfurt GmbH;;;;Neue Kräme 32;60311;FRANKFURT 1;069/289929;069/289942;DE151269224;0,25;1;1;12;
42;42;0;;WENNERGREN-WILLIAMS AB;Subscription Department;;1305;;171 25;SOLNA;+46(0)8-7059750;+46(0)8-270071;SE556289884001;0,25;1;1;21;
43;43;31;Heinrich;EBNER;TU München/LSt. f. Photogr. u. Fernerk.;;;Arcisstraße 21;80290;MÜNCHEN;;;KEINE;0,00;1;1;12;
44;44;0;;Dr. Claus Steiner GmbH;Abteilung Abonnements;;;Richard-Klinger-Str. 3;65510;IDSTEIN;06434/915120;915110;DE242311439;0,25;1;8;12;service@buch-steiner.de
45;45;0;Theodor;SCHULZE;;;;Osterstraße 24;30159;HANNOVER;;;DE115533794;0,25;1;8;12;
46;46;0;;Reinhold Gondrom GmbH & Co.KG;;;;Kerststr. 9-15;67655;KAISERSLAUTERN;(0631) 362 19 982;(0631) 362 19-715;DE148632587;0,25;1;1;12;
47;47;0;;LINDA HALL LIBRARY;Serials Department;;;5109 Sherry Street;64110;KANSAS CITY MO;;;KEINE;0,25;1;1;29;
48;48;0;;KELLNER U. MOESSNER;Universitätsbuchhandlung;;;Kaiserstraße 18;76131;KARLSRUHE 1;;;DE143598512;0,25;1;1;12;
49;49;0;;METZLER`SCHE BUCHHANDLUNG;;Herrn HOFFMANN W.;;Karlstraße 13;76133;KARLSRUHE;;;DE143607524;0,25;1;1;12;
50;50;0;;Karlsruher Institut für Technologie (KIT);Campus Süd;Geodätisches Institut;;Englerstr. 7;76131;KARLSRUHE;0721 608-42305;0721 608-46552;DE266749428;0,00;1;1;12;
51;51;0;;LANDESVERMESSUNGSAMT SCHLESWIG-HOLSTEIN;;;5071;;24062;KIEL;;;KEINE;0,00;1;1;12;
52;52;0;;LANDESAMT für Vermessung und Geobasisinformation;Rheinland-Pfalz;;;Von-KuhlStraße 49;56070;KOBLENZ;;;DE 148 722 907;0,00;1;1;12;
53;53;0;;REITZELS C.A.;Boghandel A/S;;;Norregade 20;1165;COPENHAGEN;;;DK66406717;0,25;1;1;8;
54;54;0;; DIETL;;;;Neustadt 458;84028;LANDSHUT/BAYERN;+49 871 22186;+49 871 274278;DE128870922;0,25;1;8;12;
55;55;0;;Deutsches Geodätisches Forschungsinstitut;TU München;;;Arcisstraße 21;80333;MÜNCHEN 2;;;DE811193231;0,00;1;1;12;
56;56;0;;FACHHOCHSCHULE OLDENBURG;Bibliothek;;;Ofener Straße 16;26121;OLDENBURG;;;KEINE;0,00;1;1;12;
57;57;6;Winfried;ROSE;;;;Schließfach 1720;57462;OLPE AM BIGGESEE;;;KEINE;0,00;1;1;12;
58;58;0;;Manzsche Verlags- und;Universitätsbuchhandlung GmbH;;;Gutheil-Schoder-Gasse 17/C;1230;Wien;01 531 61-0;01 662 8675-5690;ATU37181900;0,25;1;1;2;abonnement@manz.at
59;59;0;;BMWFW;Zentrale Verwaltungsbibliothek;;;Stubenring 1;1010;Wien;71100 / 5686;Fr.Huber;KEINE;0,00;1;1;2;
60;60;0;;Librairie Universitaire du Québec Métro;Agence internationale d'abonnement;Pavillon Maurice-Pollack;;22305, rue de l'Université, Local 0112;G1V 0B4;QUÉBEC, QC;418-656-2600 poste 8462;418-656-2665;KEINE;0,25;1;1;5;abonnement@zone.coop
61;61;0;;UNIVERSITÄTSBIBLIOTHEK STUTTGART;;;104941;;70043;STUTTGART;0771/ 121 3513;0771/ 121 3502;DE147794196;0,00;1;1;12;zeitschriften@ub.uni-stuttgart.de
62;62;0;;WITTWER KONRAD GESMBH;;;105343;;70046;STUTTGART 10;0711/ 2507-315;    / 2507-350;DE147641321;0,25;1;8;12;
63;63;0;;BRUNS F.;A/S Tidsskriftavd.;;;Kongens gt. 10;7005;TRONDHEIM;4773510022;;KEINE;0,25;1;8;19;
64;64;0;;Bibliothek am Guisanplatz (BiG);Herr Walter Hadorn, (swisstopo);;;Papiermühlenstr. 21A;3003;BERN;+41 31 963 2222;+41 31 963 2459;KEINE;0,25;1;1;22;pierre.gerber@swisstopo.ch
65;65;28;Franz;HILGER;;;;Auf Köhnerrain;56745;WEIBERN;;;KEINE;0,00;1;1;12;
66;66;0;;BIDER & TANNER AG;Frau Franziska Stocker;;;Aeschenvorstadt 2;4010;BASEL;+4161-2069999;+4161-2069990;KEINE;0,25;1;1;22;info@biderundtanner.ch
67;67;0;;Morawa GmbH & Co KG;Buchhandlung und Zeitungsbüro;Business Subscription Services;;Postfach 99;1127;Wien;91076-387;91076-325;ATU10240602;0,25;1;4;2;iAndrijanic@morawa.com
68;68;0;Kurt;NOVAK;;;;Bahnzeile 26;2130;Mistelbach;;;KEINE;0,00;1;9;2;
69;69;0;;WEIDEMANNS BUCHHANDLUNG;Fachbuchhandlung für techn. Literatur;;;Georgstraße 11, Postfach 6406;3000;HANNOVER;0511 / 16382-0;0511 / 1638266;DE115582157;0,25;1;1;12;
70;70;12;Leopold;ORSOLITS;;;;Schrottgießergasse 3/12;1020;Wien;;;KEINE;0,00;1;1;2;
71;71;0;;DEMOCRITUS UNIVERSITY OF THRACE;Library School of engineering;Maria Lekidou;;;671 00;XANTHI;;;KEINE;0,00;1;1;13;
72;72;0;Hugo;STREISAND;;;;Flurstrasse 32;91230;HAPPURG;;;DE136511053;0,25;1;8;12;
73;73;0;;OTTO HARRASSOWITZ KG;;;;;65174;WIESBADEN;0049 611 530 381;0049 611 530 560;DE113897518;0,25;1;8;12;urasim@harrassowitz.de
74;74;0;;GEROLD & CO.;Zeitschriften;;;Graben 31;1011;Wien;;;KEINE;0,25;1;8;2;
75;75;6;Alexander;LEGAT;;;;Altenmarkter Straße 4;8430;Leibnitz;;;KEINE;0,00;1;1;2;
76;76;0;;TIROLER LANDESREGIERUNG;Landesforstinspektion;;;Bürgerstraße 36;6010;Innsbruck;;;KEINE;0,00;1;7;2;
77;77;0;;EBSCO International Inc., USA;c/o EBSCO Info Services GmbH;;;Sachsendamm 2-7;10829;BERLIN;+31 / 297/ 86335;+31 /297/ 321250;ATU52940304;0,25;1;1;12;europe.ps@ebsco.com
78;78;0;;Mayersche Buchhandlung KG;Buchhaltung MDI;;;Matthiashofstr. 28-30;52064;AACHEN;0241/47 77-555;0241/47 77 - 475;DE811126776;0,25;1;1;12;mayerschedirekt@mayersche.de
79;79;0;;ims Internationaler Medien Service;GmbH & Co. KG;;;Süderstraße 77;20097;HAMBURG;(0049) 40 347 286 00;(0049) 40 347 186 00;DE814865171;0,25;1;1;12;ims@axelspringer.de
80;80;0;Georg E.;KARRAS;;;;Lerou 12;113 64;ATHEN;;;KEINE;0,00;1;1;13;
81;81;0;;AIGNER GmbH;;;;Asenalstr 8 Postfach 120;71638;LUDWIGSBURG;07141 / 923323;07141 / 902793;DE146153843;0,25;1;8;12;
82;82;0;;IKT Linz GmbH;;;;Gruberstraße 40-42;4020;Linz;;;KEINE;0,00;1;1;2;
83;83;0;;LANDESVERMESSUNGSAMT SACHSEN;Geodäsie & Kartographie Dresden;;100306;;01073;DRESDEN;;;DE155309101;0,00;1;1;12;
84;84;0;;MARTINUS NIJHOFF;Subscription Agents;;1853;;2700 CZ;ZOETERMEER; 3179 / 684400; 3179 / 615698;NL007519606B01;0,25;1;1;18;
85;85;0;;KRISCHE-MENCKE-BLAESING;SUBSCRIPTION AGENCY & BOOKSELLER;;;Universitätsstrasse 16;91011;ERLANGEN;++49-9131-78 06 0;++49-9131-20 56 75;DE812277765;0,25;1;1;12;
86;86;6;Oliver;SCHMECHTIG;;;;Brunnhäuslsiedlung 66/02;5531;Eben im Pongau;06464 7784;;KEINE;0,00;1;1;2;
87;87;0;;JOANNEUM RESEARCH;Forschungsgesellschaft mbH;;;Leonhardstraße 59;8010;Graz;;;ATU28781306;0,00;1;1;2;
88;88;0;Johann;SIMENKO;;;;Sailergasse 13;8430;Kaindorf a.d.Sulm;;;KEINE;0,00;1;1;2;
89;89;0;;MINERVA GMBH;Scientific Booksellers & Pub.;;;Morgensternstr.37;60596;FRANKFURT/MAIN;(069) 62 3021;;DE114189233;0,25;1;1;12;
90;90;0;;GEORG LINGENBRINK GMBH & CO.;;;;Gutenbergring 53;22848;NORDERSTEDT;040/53433536;040/53433515;DE117983939;0,25;1;1;12;
92;92;0;;STADTGEMEINDE KLOSTERNEUBURG;GA IV/1 -  Stadtplanung;;;Rathausplatz 1;3400;Klosterneuburg;;;KEINE;0,25;1;1;2;
93;93;0;;TOMIK sp z o.o.;;;;ul. Minska 25, pok. 316;03808;WARSZAWA;;;KEINE;0,25;1;1;20;
94;94;0;Anton;ALLMER;Technisches Büro - Vermessung;;;Ring 271;8230;Hartberg;;;KEINE;0,00;1;1;2;
95;95;0;Klaus;KATZMAIR;;;;Röpzigerstrasse 15;06110;HALLE;;;KEINE;0,00;1;1;12;
96;96;0;;EX LIBRIS;Buchhandelsgesellschaft;;;Ferd.-Dirichs-Weg 28;60529;FRANKFURT/MAIN;(069) 355159;(069) 356099;DE114147935;0,25;1;1;12;
97;97;0;;STADTGEMEINDE WOLFSBERG;;Herrn Dipl.- Ing. Sand;;Rathausplatz 1;9400;Wolfsberg;04352/537-271;;KEINE;0,00;1;1;2;
98;98;0;;STADTGEMEINDE VÖLKERMARKT;;Herrn Koschier;;Hauptplatz 1;9100;Völkermarkt;04232/2571 - 15;;KEINE;0,00;1;1;2;
99;99;0;;LIBROTRADE KFT;Periodical Import;;126;;1656;BUDAPEST;256-1672;256-87-27;HU10315642;0,25;1;1;14;periodicals@librotrade.hu
100;100;0;;MAGISTRAT SALZBURG;Amtsbücherei;;63;;5024;Salzburg;0662/8072;0662/8072-2085;KEINE;0,00;1;1;2;
101;101;0;;Landeshauptstadt Bregenz;;;;Rathausstraße 4;6900;Bregenz;05574/410-385;05574/410-108;ATU 37170404;0,00;1;;2;
102;102;0;;STADT DORNBIRN;Abt. Plan- u. Datenservice;Herrn Klocker Elmar;;Rathausplatz 2;6850;Dornbirn;05572/306-517;05572/306-600;KEINE;0,00;1;7;2;
103;103;0;;MAGISTRAT DER STADT KREMS/DONAU;;;;Obere Landstraße 4;3500;Krems;02732/801253;02732/801269;KEINE;0,00;1;1;2;
104;105;0;;STUAG;Abt. Techn. Controlling;;;Seilerstätte 18-20;1015;Wien;51557-213;51557-222;KEINE;0,00;1;1;2;
105;106;0;;STADTGEMEINDE KNITTELFELD;;Herrn Dipl.-Ing. Wölle Nikolai;;Hauptplatz 15;8728;Knittelfeld;;;KEINE;0,00;1;1;2;
106;107;0;;KÄRNTNER LANDESREGIERUNG;Abt. 20 - Landesplanung;;;Wulfengasse 13;9020;Klagenfurt;0463/536-32003;0463/536-32007;KEINE;0,00;1;1;2;
107;108;0;;GEMEINDE NEUBERG;Bezirk Güssing;;;;7535;Neuberg;;;KEINE;0,00;1;1;2;
108;109;0;;STADTGEMEINDE VOITSBERG;Bauamt;;;Hauptplatz 1;8570;Voitsberg;03142/22170-0;03142/2217054;KEINE;0,00;1;1;2;
109;110;0;;MARKTGEMEINDE NEUDÖRFL;;;;Rathaus;7201;Neudörfl;02622/77277;02622/77277-20;KEINE;0,00;1;1;2;
110;111;12;Karl;KNOTZER;;;;Rosenhügel 25;7503;Großpetersdorf;;;KEINE;0,00;1;1;2;
111;112;0;;STEWEAG;Bibliothek;;;Leonhardgürtel 10;8011;Graz;0316/387;0316/387290;KEINE;0,00;1;1;2;
112;113;0;;MARKTGEMEINDE TELFS;;;;Untermarktstrasse 5-7;6410;Telfs;05262/6961-0;05262/6961-199;KEINE;0,00;1;1;2;
113;114;0;;MINERVA;Wissenschaftliche Buchhandlung GmbH;;;Ignaz-Köck-Strasse 9;1210;Wien;+43 (0) 1 / 330 24 33-246;+43 (0) 1 / 330 24 39-146;ATU 14893203;0,25;1;1;2;minerva@minerva.at; georg.stern@minerva.at
114;115;0;Dieter;STRASSER;Informationstechnik GmbH;;;Schillerplatz 3;3100;St. Pölten;02742/235-0;;KEINE;0,00;1;1;2;
115;116;0;;JOHN MIHALOPOULOS & SON S. A.;International Booksellers;;;75 Hermou Street, P. O. BOX 10073;54110;THESSALONIKI;279695-263786;279695-268562;EL94095703;0,25;1;1;13;
116;117;0;;Atos IT Solutions and Services GmbH;;;;Siemensstraße 92;1210;Wien;+43/(0)50618-0;+43/(0)50618-57770;ATU66190855;0,00;1;1;2;
117;118;0;;UMWELT - u. EDV-BERATUNG GmbH;;;;Wiedner Hauptstrasse 19;1040;Wien;01 5051984;01 5051984 43;KEINE;0,00;1;1;2;
118;119;0;;KUBON & SAGNER;Buchexport;;340108;Heßstraße 39/41;80798;MÜNCHEN;089-54218-0;089-54218-218;DE811194845;0,25;1;1;12;
119;120;0;;ESIA BOOKS AND JOURNALS SRL.;;;;Via Palestro 30;00185;ROMA RM;4441221;4747743;IT01955411002;0,25;1;1;15;
120;121;6;Gerolf;LASERER;;;;Salzburgerstrasse 27a;5620;Schwarzach;;;KEINE;0,00;1;1;2;
121;122;0;;AUFHAUSER-PINZ OEG;Planungsbüro;;;Feldgasse 1;3130;Herzogenburg;02782 5101;;KEINE;0,00;1;1;2;
122;123;9;Gerhard;HEISS;Arsenal Obj. 219;;;Faradaygasse 3;1030;Wien;79747 252;79747 591;KEINE;0,00;1;1;2;
123;124;0;;DIGET POLITECNICO;;;;Corso Duca degli Abruzzi 24;10129;TURIN;39 11 5647600;39 11 5647699;KEINE;0,00;1;1;15;
124;125;6;Arnulf;ZOPP;;;;Hofkirchenstrasse 8a;5020;Salzburg;;;KEINE;0,00;1;1;2;
126;127;0;;LANGE & SPRINGER;Zeitschriftenabteilung;;;Otto-Suhr-Allee 26/28;10585;BERLIN;030/34005-0;    3420611;DE136665983;0,25;1;1;12;
127;128;0;;GEODETSKI FAKULTET;;Herrn Prof. Dr. sc. Fiedler Teodor;;Kaciceva 26;10000;ZAGREB;;;KEINE;0,00;1;1;17;
128;129;0;;MAGISTRAT STEYR;Rathaus;;;Stadtplatz 27;4400;Steyr;;;KEINE;0,00;1;1;2;
136;0;;;S. Toeche-Mittler;Verlagsbuchhandlung GmbH;;;Hindenburgstraße 33;64295;DARMSTADT;06151 33665;06151 314048;DE111660672;0,25;0;1;12;abo@net-library.de
