BID;BERUF;BEZEICHNUNG
1;-;Unbekannt
2;ASSIS;Assistent
3;BEV;BEV
4;BEVP;BEV-Pensionist
5;BMwA;BMwA
6;BOKU;Univ. f. Bodenkultur
7;EDV;EDV
8;EVU;EVU
9;GEM;Gemeinde
10;GEMP;Gemeinde Pensionist
11;IKV;Ingenieurkonsulent
12;IKVP;Ingenieurkonsulent Pensionist
13;LRB;Landesreg. Bgl.
14;LRN;Landesreg. NÖ.
15;LRK;Landesreg. K.
16;LRO;Landesreg. OÖ.
17;LRS;Landesreg. Sbg.
18;LRST;Landesreg. St.
19;LRT;Landesreg. T.
20;LRV;Landesreg. Vbg.
21;LRW;Landesreg. W.
22;MA;Magistrat
23;ÖBB;ÖBB
24;ÖFF;Öffentlich Bed.
25;ÖMV;ÖMV
26;PRIVAT;Privatangestellter
27;PROF;Professor
28;SELB;Selbständig
29;STUD;Student
30;TU-ASS;TU-Assistent
31;TUG;TU-Graz
32;TUI;TU-Ibuck
33;TUW;TU-Wien
34;UNI;Universität
35;UNI-W;UNI-Wien
36;VERK;Verkehrsbetriebe
