KNummer;ANummer;HAnreden;HTitel;HVorname;HName1;HName2;HName3;POBH;HStrasse;HPLZI;HPLZ;HOrt;HLand;HGZ;Rückstand;Gutschrift;AAnreden;ATitel;AVorname;AName1;AName2;AName3;ALand;POBA;AStrasse;AOrt;APLZI;Aplz;UID;Prozen;Preis;Rechnungsanzahl;Heftanzahl;Gesamtpreis;Rabatt;Total;MwSt;UST;PREISbrutto;ABOAnfang;ABOEnde
67;3;;;;Kienreich Jos. A.;Zeitungs-Abo;Universitätsbuchhandlung;828;Sackstraße 6;A;8011;Graz;AUSTRIA;FZA/HA;0,00;0,00;Firma;;;Morawa GmbH & Co KG;Buchhandlung und Zeitungsbüro;Business Subscription Services;AUSTRIA;;Postfach 99;Wien;A;1127;ATU10240602;0,25;60,00;1;1;60,00;-15,00;45,00;0,10;4,50;49,50;1.1.1993 00:00:00;31.12.2006 00:00:00
2;5;;Dipl.-Ing.;Karl-August;Sovinz;;;;Krenhof 270;A;8580;Köflach;AUSTRIA;;0,00;0,00;Herr;Dipl.-Ing.;Karl-August;Sovinz;;;AUSTRIA;;Krenhof 270;Köflach;A;8580;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1980 00:00:00;31.12.2003 00:00:00
3;6;;;;Techn. Universität Graz;Bibliothek;;;Technikerstraße 4;A;8010;Graz;AUSTRIA;;0,00;0,00;;;;TECHN. UNIVERSITÄT GRAZ;Bibliothek;;AUSTRIA;;Technikerstraße 4;Graz;A;8010;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1979 00:00:00;31.12.2001 00:00:00
4;8;;;;Veitsch-Radex GmbH & Co;;;;Werk Breitenau;A;8614;St. Jakob;AUSTRIA;;0,00;0,00;;;;VEITSCH-RADEX GmbH & Co OG;;Werk Breitenau;AUSTRIA;;Wienerbergstraße 9;Wien;A;1100;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1951 00:00:00;
5;9;Amt der;;;Tiroler Landesregierung;Abt. Bodenordnung;;;Wilhelm-Greil-Straße 9;A;6020;Innsbruck;AUSTRIA;102/1-1950;0,00;0,00;Amt der;;;TIROLER LANDESREGIERUNG;Abt. Bodenordnung;;AUSTRIA;;Wilhelm-Greil-Straße 9;Innsbruck;A;6020;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1950 00:00:00;
6;10;;;;Baubezirksamt Innsbruck;;;;Valiergasse 1;A;6010;Innsbruck;AUSTRIA;ZL.a 110/13-80;0,00;0,00;;;;BAUBEZIRKSAMT INNSBRUCK;;;AUSTRIA;;Valiergasse 1;Innsbruck;A;6010;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1980 00:00:00;1.1.2002 00:00:00
7;11;;;;Magistrat der Stadt Innsbruck;Abteilung Beschaffungsamt;;;Rathaus;A;6020;Innsbruck;AUSTRIA;;0,00;0,00;;;;MAGISTRAT DER STADT INNSBRUCK;Abteilung Beschaffungsamt;;AUSTRIA;;Rathaus;Innsbruck;A;6020;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1948 00:00:00;
9;13;;Dipl.-Ing.;Gernot;Kraschl;;;;8. Mai-Straße 47;A;9020;Klagenfurt;AUSTRIA;;0,00;0,00;;Dipl.-Ing.;Gernot;KRASCHL;;;AUSTRIA;;8. Mai-Straße 47;Klagenfurt;A;9020;ATU65500344;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1971 00:00:00;31.12.2010 00:00:00
11;15;;;;Stadtamt Leoben;;;;;A;8700;Leoben;AUSTRIA;;0,00;0,00;;;;STADTAMT LEOBEN;;;AUSTRIA;;;Leoben;A;8700;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1948 00:00:00;
12;16;;;;Amt der OOE  Landesregierung;Amtsbibliothek (EBSCO ABO);;;Bahnhofplatz 1/(LDZ);A;4021;Linz;AUSTRIA;;110,00;0,00;;;;EBSCO INT. INC.;;;AUSTRIA;;Ignaz-Köck-Straße 9;Wien;A;1210;ATU52940304;0,00;60,00;0;1;60,00;-0,00;170,00;0,10;17,00;187,00;1.1.1972 00:00:00;
