Abonummer;Kundennummer;DATUM;FAELLIG;NETTO;MWSTSATZ;MWST;BRUTTO;ZAHLUNG;MEMO;KONTO;Löschen
8;4;8.6.2017 00:00:00;22.6.2017 00:00:00;60,00;0,00;0,00;60,00;0,00;ABO 2017;ABEI;1
9;5;8.6.2017 00:00:00;22.6.2017 00:00:00;60,00;0,00;0,00;60,00;0,00;ABO 2017;ABEI;1
11;7;8.6.2017 00:00:00;22.6.2017 00:00:00;60,00;0,00;0,00;60,00;0,00;ABO 2017;ABEI;1
15;11;8.6.2017 00:00:00;22.6.2017 00:00:00;60,00;0,00;0,00;60,00;0,00;ABO 2017;ABEI;1
16;12;8.6.2017 00:00:00;22.6.2017 00:00:00;60,00;0,00;0,00;60,00;0,00;ABO 2017;ABEI;0
20;15;8.6.2017 00:00:00;22.6.2017 00:00:00;60,00;0,00;0,00;60,00;0,00;ABO 2017;ABEI;1
38;21;8.6.2017 00:00:00;22.6.2017 00:00:00;60,00;0,00;0,00;60,00;0,00;ABO 2017;ABEI;1
42;23;8.6.2017 00:00:00;22.6.2017 00:00:00;120,00;0,00;0,00;120,00;0,00;ABO 2017;ABEI;1
46;26;8.6.2017 00:00:00;22.6.2017 00:00:00;45,00;0,00;0,00;45,00;0,00;ABO 2017;ABEI;1
47;27;8.6.2017 00:00:00;22.6.2017 00:00:00;60,00;0,00;0,00;60,00;0,00;ABO 2017;ABEI;1
50;28;8.6.2017 00:00:00;22.6.2017 00:00:00;60,00;0,00;0,00;60,00;0,00;ABO 2017;ABEI;1
58;32;8.6.2017 00:00:00;22.6.2017 00:00:00;75,00;0,00;0,00;75,00;0,00;ABO 2017;ABOEU;1
72;29;8.6.2017 00:00:00;22.6.2017 00:00:00;56,25;0,00;0,00;56,25;0,00;ABO 2017;ABOEU;0
85;41;8.6.2017 00:00:00;22.6.2017 00:00:00;56,25;0,00;0,00;56,25;0,00;ABO 2017;ABOEU;1
96;73;8.6.2017 00:00:00;22.6.2017 00:00:00;56,25;0,00;0,00;56,25;0,00;ABO 2017;ABOEU;1
99;50;8.6.2017 00:00:00;22.6.2017 00:00:00;75,00;0,00;0,00;75,00;0,00;ABO 2017;ABOEU;1
101;51;8.6.2017 00:00:00;22.6.2017 00:00:00;75,00;0,00;0,00;75,00;0,00;ABO 2017;ABEI;1
102;52;8.6.2017 00:00:00;22.6.2017 00:00:00;75,00;0,00;0,00;75,00;0,00;ABO 2017;ABOEU;1
107;54;8.6.2017 00:00:00;22.6.2017 00:00:00;56,25;0,00;0,00;56,25;0,00;ABO 2017;ABOEU;1
128;189;8.6.2017 00:00:00;22.6.2017 00:00:00;56,25;0,00;0,00;56,25;0,00;ABO 2017;ABOEU;0
145;61;8.6.2017 00:00:00;22.6.2017 00:00:00;75,00;0,00;0,00;75,00;0,00;ABO 2017;ABOEU;1
181;70;8.6.2017 00:00:00;22.6.2017 00:00:00;60,00;0,00;0,00;60,00;0,00;ABO 2017;ABEI;1
196;73;8.6.2017 00:00:00;22.6.2017 00:00:00;56,25;0,00;0,00;56,25;0,00;ABO 2017;ABOEU;1
199;73;8.6.2017 00:00:00;22.6.2017 00:00:00;56,25;0,00;0,00;56,25;0,00;ABO 2017;ABOEU;1
439;147;8.6.2017 00:00:00;22.6.2017 00:00:00;56,25;0,00;0,00;56,25;0,00;ABO 2017;ABOEU;1
916;29;8.6.2017 00:00:00;22.6.2017 00:00:00;56,25;0,00;0,00;56,25;0,00;ABO 2017;ABOEU;0
957;86;8.6.2017 00:00:00;22.6.2017 00:00:00;60,00;0,00;0,00;60,00;0,00;ABO 2017;ABEI;1
964;87;8.6.2017 00:00:00;22.6.2017 00:00:00;60,00;0,00;0,00;60,00;0,00;ABO 2017;ABEI;1
1062;67;8.6.2017 00:00:00;22.6.2017 00:00:00;45,00;0,00;0,00;45,00;0,00;ABO 2017;ABEI;0
1069;92;8.6.2017 00:00:00;22.6.2017 00:00:00;45,00;0,00;0,00;45,00;0,00;ABO 2017;ABEI;1
1087;97;8.6.2017 00:00:00;22.6.2017 00:00:00;60,00;0,00;0,00;60,00;0,00;ABO 2017;ABEI;1
1096;100;8.6.2017 00:00:00;22.6.2017 00:00:00;60,00;0,00;0,00;60,00;0,00;ABO 2017;ABEI;1
1097;101;8.6.2017 00:00:00;22.6.2017 00:00:00;60,00;0,00;0,00;60,00;0,00;ABO 2017;ABEI;1
1112;105;8.6.2017 00:00:00;22.6.2017 00:00:00;60,00;0,00;0,00;60,00;0,00;ABO 2017;ABEI;0
1193;128;8.6.2017 00:00:00;22.6.2017 00:00:00;60,00;0,00;0,00;60,00;0,00;ABO 2017;ABEI;1
1201;136;8.6.2017 00:00:00;22.6.2017 00:00:00;56,25;0,00;0,00;56,25;0,00;ABO 2017;ABOEU;1
1207;142;8.6.2017 00:00:00;22.6.2017 00:00:00;60,00;0,00;0,00;60,00;0,00;ABO 2017;ABEI;1
1208;143;8.6.2017 00:00:00;22.6.2017 00:00:00;60,00;0,00;0,00;60,00;0,00;ABO 2017;ABEI;0
1225;67;8.6.2017 00:00:00;22.6.2017 00:00:00;45,00;0,00;0,00;45,00;0,00;ABO 2017;ABEI;0
1231;156;8.6.2017 00:00:00;22.6.2017 00:00:00;60,00;0,00;0,00;60,00;0,00;ABO 2017;ABEI;1
1235;159;8.6.2017 00:00:00;22.6.2017 00:00:00;75,00;0,00;0,00;75,00;0,00;ABO 2017;ABOEU;1
1236;160;8.6.2017 00:00:00;22.6.2017 00:00:00;75,00;0,00;0,00;75,00;0,00;ABO 2017;ABOEU;1
1238;162;8.6.2017 00:00:00;22.6.2017 00:00:00;75,00;0,00;0,00;75,00;0,00;ABO 2017;ABOEU;1
1250;77;13.12.2016 00:00:00;27.12.2016 00:00:00;56,25;0,00;0,00;56,25;0,00;ABO 2016;ABOEU;0
1337;211;13.12.2016 00:00:00;27.12.2016 00:00:00;60,00;10,00;6,00;66,00;0,00;ABO 2016;ABEI;0
1353;220;13.12.2016 00:00:00;27.12.2016 00:00:00;56,25;0,00;0,00;56,25;0,00;ABO 2016;ABEA;0
1355;222;13.12.2016 00:00:00;27.12.2016 00:00:00;56,25;0,00;0,00;56,25;0,00;ABO 2016;ABOEU;1
1363;29;13.12.2016 00:00:00;27.12.2016 00:00:00;56,25;0,00;0,00;56,25;0,00;ABO 2016;ABOEU;0
1368;223;13.12.2016 00:00:00;27.12.2016 00:00:00;75,00;0,00;0,00;75,00;0,00;ABO 2016;ABOEU;0
