Mitgliedsnummer;DATUM;FAELLIG;BRUTTO;ZAHLUNG;MEMO;BEZAHLT
584;1.2.2001 00:00:00;31.5.2001 00:00:00;36,34;36,34;BEITRAG 2001;1
598;1.2.2001 00:00:00;31.5.2001 00:00:00;21,80;0,00;BEITRAG 2001;0
609;1.2.2001 00:00:00;31.5.2001 00:00:00;36,34;0,00;BEITRAG 2001;0
613;1.2.2001 00:00:00;31.5.2001 00:00:00;36,34;0,00;BEITRAG 2001;0
617;1.2.2001 00:00:00;31.5.2001 00:00:00;36,34;0,00;BEITRAG 2001;0
630;1.2.2001 00:00:00;31.5.2001 00:00:00;36,34;0,00;BEITRAG 2001;0
652;1.2.2001 00:00:00;31.5.2001 00:00:00;21,80;0,00;BEITRAG 2001;0
701;1.2.2001 00:00:00;31.5.2001 00:00:00;36,34;0,00;BEITRAG 2001;0
709;1.2.2001 00:00:00;31.5.2001 00:00:00;36,34;0,00;BEITRAG 2001;0
757;1.2.2001 00:00:00;31.5.2001 00:00:00;21,80;0,00;BEITRAG 2001;0
790;1.2.2001 00:00:00;31.5.2001 00:00:00;21,80;0,00;BEITRAG 2001;0
797;1.2.2001 00:00:00;31.5.2001 00:00:00;21,80;0,00;BEITRAG 2001;0
798;1.2.2001 00:00:00;31.5.2001 00:00:00;21,80;0,00;BEITRAG 2001;0
821;1.2.2001 00:00:00;31.5.2001 00:00:00;21,80;0,00;BEITRAG 2001;0
51;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
61;7.6.2002 00:00:00;31.5.2002 00:00:00;21,80;0,00;BEITRAG 2002;0
67;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
69;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
77;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
106;7.6.2002 00:00:00;31.5.2002 00:00:00;21,80;0,00;BEITRAG 2002;0
111;7.6.2002 00:00:00;31.5.2002 00:00:00;21,80;0,00;BEITRAG 2002;1
125;7.6.2002 00:00:00;31.5.2002 00:00:00;21,80;0,00;BEITRAG 2002;0
133;7.6.2002 00:00:00;31.5.2002 00:00:00;21,80;0,00;BEITRAG 2002;0
151;7.6.2002 00:00:00;31.5.2002 00:00:00;21,80;0,00;BEITRAG 2002;0
179;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
60;;31.5.2003 00:00:00;26,00;0,00;BEITRAG 2003;0
198;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
209;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
1;;31.5.2004 00:00:00;45,00;0,00;BEITRAG 2004;0
51;;31.5.2004 00:00:00;45,00;0,00;BEITRAG 2004;0
175;28.6.2006 00:00:00;31.5.2006 00:00:00;26,00;26,00;BEITRAG 2006;1
65;19.4.2010 00:00:00;31.5.2010 00:00:00;26,00;26,00;BEITRAG 2010;1
66;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
68;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
71;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
72;19.4.2010 00:00:00;31.5.2010 00:00:00;26,00;26,00;BEITRAG 2010;1
757;7.6.2002 00:00:00;31.5.2002 00:00:00;21,80;0,00;BEITRAG 2002;0
790;7.6.2002 00:00:00;31.5.2002 00:00:00;21,80;0,00;BEITRAG 2002;0
797;7.6.2002 00:00:00;31.5.2002 00:00:00;21,80;0,00;BEITRAG 2002;0
798;7.6.2002 00:00:00;31.5.2002 00:00:00;21,80;0,00;BEITRAG 2002;0
77;;31.5.2003 00:00:00;26,00;0,00;BEITRAG 2003;0
60;;31.5.2004 00:00:00;26,00;0,00;BEITRAG 2004;0
64;;31.5.2004 00:00:00;45,00;0,00;BEITRAG 2004;0
67;;31.5.2004 00:00:00;45,00;0,00;BEITRAG 2004;0
69;;31.5.2004 00:00:00;45,00;0,00;BEITRAG 2004;0
76;;31.5.2004 00:00:00;26,00;26,00;BEITRAG 2004;1
77;;31.5.2004 00:00:00;26,00;0,00;BEITRAG 2004;0
81;;31.5.2004 00:00:00;45,00;0,00;BEITRAG 2004;0
212;15.5.1997 00:00:00;31.5.1997 00:00:00;36,34;0,00;BEITRAG 1997;0
179;15.5.1997 00:00:00;31.5.1997 00:00:00;72,67;0,00;BEITRAG 1997;0
931;;31.5.2005 00:00:00;15,00;0,00;BEITRAG 2005;0
71;;31.5.2006 00:00:00;45,00;45,00;BEITRAG 2006;1
74;;31.5.2006 00:00:00;45,00;45,00;BEITRAG 2006;1
92;;31.5.2006 00:00:00;45,00;45,00;BEITRAG 2006;1
73;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
75;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
78;19.4.2010 00:00:00;31.5.2010 00:00:00;26,00;26,00;BEITRAG 2010;1
79;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
986;19.4.2010 00:00:00;31.5.2010 00:00:00;15,00;15,00;BEITRAG 2010;1
987;19.4.2010 00:00:00;31.5.2010 00:00:00;15,00;15,00;BEITRAG 2010;1
80;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
84;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
85;19.4.2010 00:00:00;31.5.2010 00:00:00;26,00;26,00;BEITRAG 2010;1
89;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
90;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
91;19.4.2010 00:00:00;31.5.2010 00:00:00;26,00;26,00;BEITRAG 2010;1
93;19.4.2010 00:00:00;31.5.2010 00:00:00;26,00;26,00;BEITRAG 2010;1
94;19.4.2010 00:00:00;31.5.2010 00:00:00;26,00;26,00;BEITRAG 2010;1
924;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
13;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
57;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
125;15.5.1997 00:00:00;31.5.1997 00:00:00;36,34;0,00;BEITRAG 1997;0
582;15.5.1997 00:00:00;31.5.1997 00:00:00;43,60;0,00;BEITRAG 1997;0
709;15.5.1997 00:00:00;31.5.1997 00:00:00;36,34;0,00;BEITRAG 1997;0
77;15.5.1997 00:00:00;31.5.1997 00:00:00;36,34;0,00;BEITRAG 1997;0
575;15.5.1997 00:00:00;31.5.1997 00:00:00;36,34;0,00;BEITRAG 1997;0
506;15.5.1997 00:00:00;31.5.1997 00:00:00;105,38;0,00;BEITRAG 1997;0
583;15.5.1997 00:00:00;31.5.1997 00:00:00;105,38;0,00;BEITRAG 1997;0
133;15.5.1997 00:00:00;31.5.1997 00:00:00;72,67;0,00;BEITRAG 1997;0
246;15.5.1997 00:00:00;31.5.1997 00:00:00;72,67;0,00;BEITRAG 1997;0
195;15.5.1997 00:00:00;31.5.1997 00:00:00;36,34;0,00;BEITRAG 1997;0
554;15.5.1997 00:00:00;31.5.1997 00:00:00;36,34;0,00;BEITRAG 1997;0
69;15.5.1997 00:00:00;31.5.1997 00:00:00;72,67;0,00;BEITRAG 1997;0
315;15.5.1997 00:00:00;31.5.1997 00:00:00;76,31;0,00;BEITRAG 1997;0
523;15.5.1997 00:00:00;31.5.1997 00:00:00;105,38;0,00;BEITRAG 1997;0
