TID;TITEL
1;Baurat Dipl.-Ing.
2;Baurat h.c. Dipl.-Ing.
3;Baurat h.c. Dipl.-Ing. Dr.techn.
4;Dipl.- Ing. Dr.
5;Dipl.- Ing. Dr.techn.
6;Dipl.-Ing.
7;Dipl.-Ing. Dr.
8;Dipl.-Ing. Dr.jur.
9;Dr.
10;Dr. Ing.
11;Dr.techn.
12;Ing.
13;Ing. Dr.
14;Mag.
15;Mag. Dr.
16;o.Univ. Prof. Dipl.-Ing. Dr.techn.
17;o.Prof. Dr.
18;o.Univ. Prof. Dipl.-Ing. DDr.mult.
19;o.Univ. Prof. Dipl.-Ing. Dr.techn.
20;o.Univ. Prof. Dr.
21;o.Univ. Prof. Dipl.-Ing. Dr.techn. Dr.e.h.
22;o.Univ. Prof. Dr.
23;o.Univ. Prof. Dr.techn.
24;Prof.
25;Prof. Dipl.-Ing. Dr.
26;Prof. Dipl.-Ing. Dr.techn.
27;Prof. Dr.
28;Professor Dr.-Ing.
29;Professor Ing.
30;Univ. Doz. Dr.techn.
31;Univ. Prof. Dr.-Ing.
32;Univ. Prof. DDipl.-Ing. Dr.techn.
33;Univ. Doz. Dipl.-Ing. Dr.
34;Univ. Prof. Dipl.-Ing. Dr.techn.
35;DDr.
36;Univ. Prof. Dr. Sc.
37;MR Dipl.-Ing.
38;Dipl.-Ing. Mag.
39;Geom.
41;Univ. Prof. DI Dr.
42;Mag. M.Sc. MAS
43;Ao.Univ. Prof. Dr.
44;Ing. MAS(GIS), MSc
45;DI Mag. Dr.
46;Ing. Mag.
47;Dipl.-Ing. (FH)
49;Univ. Prof. Dr.
50;Univ.Prof.Mag.Dr
52;MSc
53;Prof. Dr. Ing.
54;Ing. Dipl.-Ing.
55;MMag.
56;Bakk. Techn.
57;Ao.Univ. Prof. Dipl.-Ing. Dr.techn.
58;Univ.Prof. Mag. Dr
59;Univ.Prof. Mag. Dr
60;BSc
61;Dr.-Ing.
62;MSc MBA
63;Univ.Prof. Mag. Dr.
